tract,pop
2000100,11091
2000200,4334
2000400,5503
2001600,5643
2001900,1917
2002000,8731
2002300,4933
2002400,4
2002500,5491
2002701,3113
2002702,4475
2002800,5586
2003100,1597
2003300,3413
2003500,3761
2003700,245
2003800,1264
2003900,6475
2004001,1420
2004100,6127
2004200,7143
2004300,5056
2004400,4797
2004600,1555
2004800,3883
2005001,4767
2005002,5823
2005100,5810
2005200,2031
2005300,4669
2005400,5853
2005600,2711
2005902,2582
2006000,1129
2006100,3713
2006200,6585
2006300,5280
2006400,3967
2006500,5337
2006700,6984
2006800,2897
2006900,7564
2007000,4584
2007100,1907
2007200,5432
2007300,3893
2007400,3710
2007500,4869
2007600,5190
2007700,1927
2007800,6418
2007900,6733
2008300,6155
2008400,2374
2008500,5457
2008600,4176
2008700,5466
2008900,3177
2009000,3667
2009200,5017
2009300,6356
2009600,2594
2009800,5038
2011000,151
2011502,4340
2011700,1585
2011800,5089
2011900,5698
2012101,3090
2012102,1631
2012300,4152
2012500,3905
2012701,2253
2012901,4015
2013000,1032
2013100,5103
2013200,5890
2013300,6384
2013500,3583
2013800,3042
2014100,3437
2014300,1003
2014400,5880
2014500,5816
2014701,6461
2014702,5110
2014900,4591
2015100,5409
2015200,2341
2015300,4031
2015500,3005
2015700,3580
2015800,1206
2015900,2164
2016000,3767
2016100,4380
2016200,1769
2016300,0
2016400,1141
2016500,1077
2016600,2166
2016700,2047
2016900,1663
2017100,0
2017300,5987
2017500,6911
2017701,4294
2017702,4805
2017901,4677
2017902,3587
2018101,3300
2018102,5555
2018301,4525
2018302,3647
2018400,3855
2018500,7466
2018900,7752
2019300,5461
2019400,1903
2019500,7756
2019700,7501
2019900,8154
2020000,4878
2020100,4013
2020200,2155
2020400,2976
2020501,6996
2020502,1764
2020601,3050
2020900,4361
2021001,8521
2021002,6839
2021100,5565
2021200,5267
2021301,1201
2021302,5415
2021501,3506
2021502,6051
2021601,4206
2021602,5769
2021700,5334
2021800,6499
2021900,1367
2022000,1487
2022101,3849
2022102,5488
2022200,3425
2022300,5047
2022401,2708
2022403,3188
2022404,4509
2022500,7698
2022701,5196
2022702,1699
2022703,1556
2022800,6218
2022901,5370
2022902,3273
2023000,2950
2023100,1537
2023200,2661
2023301,4377
2023302,3415
2023501,3341
2023502,4386
2023600,1907
2023702,1241
2023703,5253
2023704,3758
2023800,2615
2023900,8348
2024000,3882
2024100,6182
2024300,5685
2024400,2120
2024501,4864
2024502,3640
2024600,2058
2024700,1764
2024800,3363
2024900,0
2025000,2383
2025100,6802
2025200,2530
2025300,6332
2025400,1959
2025500,6529
2025600,1663
2025700,1912
2026100,1932
2026300,6984
2026400,4935
2026500,6942
2026601,2911
2026602,5301
2026701,4037
2026702,7040
2026900,3777
2027300,7942
2027401,4785
2027402,3386
2027600,473
2027700,5065
2027900,6966
2028100,3794
2028300,3149
2028400,894
2028500,3307
2028600,1191
2028700,3178
2028800,3097
2028900,4502
2029301,1875
2029302,5052
2029500,4240
2029600,2549
2029700,3554
2030000,5838
2030100,1304
2030200,8887
2030701,5378
2030900,3891
2031000,4415
2031200,1524
2031400,1966
2031600,1863
2031800,1810
2031900,751
